m,puzzleNum,searchFunc,heuristic,moves,nodesChecked,runTime (seconds),solutionFound,heuristic % runTime,heuristic time
10,0,astar,cityBlock,10,24,0.0010251998901367188,True,100.0,0.0010251998901367188
10,1,astar,cityBlock,10,37,0.002975940704345703,True,0.0,0.0
10,2,astar,cityBlock,6,16,0.0020360946655273438,True,100.0,0.0020360946655273438
10,3,astar,cityBlock,10,22,0.0010373592376708984,True,100.0,0.0010373592376708984
10,4,astar,cityBlock,10,20,0.0009989738464355469,True,0.0,0.0
10,5,astar,cityBlock,10,24,0.00104522705078125,True,0.0,0.0
10,6,astar,cityBlock,8,25,0.00099945068359375,True,0.0,0.0
10,7,astar,cityBlock,8,25,0.002043485641479492,True,49.27079687317699,0.0010068416595458984
10,8,astar,cityBlock,10,22,0.0020341873168945312,True,100.0,0.0020341873168945312
10,9,astar,cityBlock,10,37,0.0020363330841064453,True,48.788198103266595,0.000993490219116211
20,0,astar,cityBlock,20,98,0.005995750427246094,True,16.657388261491967,0.0009987354278564453
20,1,astar,cityBlock,20,1207,0.09291577339172363,True,22.591008347082628,0.020990610122680664
20,2,astar,cityBlock,18,135,0.0070378780364990234,True,42.14234899556218,0.0029659271240234375
20,3,astar,cityBlock,20,191,0.011034011840820312,True,36.57735522904062,0.00403594970703125
20,4,astar,cityBlock,20,289,0.0160367488861084,True,37.67450158333705,0.006041765213012695
20,5,astar,cityBlock,20,372,0.02203822135925293,True,45.53361821820739,0.010034799575805664
20,6,astar,cityBlock,18,259,0.016428470611572266,True,35.793689954430675,0.0058803558349609375
20,7,astar,cityBlock,20,121,0.006120204925537109,True,45.410985586287495,0.002779245376586914
20,8,astar,cityBlock,20,902,0.06403684616088867,True,26.48609404668826,0.016960859298706055
20,9,astar,cityBlock,12,80,0.004999399185180664,True,60.03147503457485,0.0030012130737304688
30,0,astar,cityBlock,30,5569,1.0661664009094238,True,14.468183690510319,0.15425491333007812
30,1,astar,cityBlock,22,1586,0.13457465171813965,True,22.711432605718517,0.030563831329345703
30,2,astar,cityBlock,30,21339,14.905260801315308,True,3.864493600520625,0.5760128498077393
30,3,astar,cityBlock,26,727,0.05704045295715332,True,31.466488327864738,0.017948627471923828
30,4,astar,cityBlock,28,32638,44.366257429122925,True,2.0860617935820507,0.9255075454711914
30,5,astar,cityBlock,24,293,0.018000364303588867,True,49.62847190029007,0.008933305740356445
30,6,astar,cityBlock,26,1184,0.0959162712097168,True,33.28196230692366,0.03192281723022461
30,7,astar,cityBlock,28,2744,0.3419075012207031,True,21.203656182708723,0.07249689102172852
30,8,astar,cityBlock,16,50001,133.41271543502808,False,1.1994639074089368,1.6002373695373535
30,9,astar,cityBlock,30,39626,82.50213718414307,True,1.5188956538673133,1.2531213760375977
40,0,astar,cityBlock,15,50001,139.18475008010864,False,1.1527146602109728,1.604403018951416
40,1,astar,cityBlock,34,2143,0.26033449172973633,True,24.959658290610502,0.06497859954833984
40,2,astar,cityBlock,32,43718,127.7700309753418,True,1.2344692268174495,1.5772817134857178
40,3,astar,cityBlock,28,4613,0.8614969253540039,True,12.96398385998705,0.11168432235717773
40,4,astar,cityBlock,17,50001,135.43378472328186,False,1.2589326900735835,1.7050201892852783
40,5,astar,cityBlock,17,50000,131.64374661445618,False,1.2540277425880615,1.6508491039276123
40,6,astar,cityBlock,12,50001,128.15196800231934,False,1.3133551318923602,1.6830904483795166
40,7,astar,cityBlock,34,24346,21.61970019340515,True,3.083682718256516,0.6666829586029053
40,8,astar,cityBlock,34,17727,9.77130675315857,True,4.699306904715668,0.4591836929321289
40,9,astar,cityBlock,26,4906,0.7855522632598877,True,14.939579858840096,0.11735820770263672
50,0,astar,cityBlock,30,20558,14.066370964050293,True,4.591094275467657,0.6458003520965576
50,1,astar,cityBlock,32,20120,14.292927265167236,True,4.399109561375973,0.6287615299224854
50,2,astar,cityBlock,16,50000,143.69798350334167,False,1.2244948539995635,1.7595744132995605
50,3,astar,cityBlock,32,26929,30.914981365203857,True,2.3042515961869356,0.7123589515686035
50,4,astar,cityBlock,11,50000,136.94371581077576,False,1.150768108228025,1.5759046077728271
50,5,astar,cityBlock,34,43337,108.99064826965332,True,1.2444476736041372,1.3563315868377686
50,6,astar,cityBlock,24,50000,136.5479519367218,False,1.2401133355734248,1.6933493614196777
50,7,astar,cityBlock,14,50000,139.3107099533081,False,1.1667604305859696,1.6254222393035889
50,8,astar,cityBlock,15,50001,134.7615749835968,False,1.2441129092822796,1.6765861511230469
50,9,astar,cityBlock,18,50002,138.29898643493652,False,1.1803080146508067,1.6323540210723877
